Year,Grid_Ref_Easting,Grid_Ref_Northing,Number_of_Vehicles,Number_of_Casualties,Accident_Date,Time,Road_Class,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Casualty_Severity,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle
2013,425107,433759,2,4,10.1.2013,2310,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,30,Car
2013,430022,435532,2,1,10.1.2013,2110,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Serious,Male,39,Motorcycle >50cc and <=125cc
2013,426062,439287,2,2,11.1.2013,855,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,36,Car
2013,426062,439287,2,2,11.1.2013,855,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,41,Car
2013,428638,436981,2,1,10.1.2013,1145,B (regional road),Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,45,Motorcycle >50cc and <=125cc
2013,431905,435735,2,2,10.1.2013,2015,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,32,Car
2013,431905,435735,2,2,10.1.2013,2015,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Male,44,Car
2013,432274,438428,2,1,11.1.2013,930,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,36,Car
2013,426869,427278,2,1,11.1.2013,1740,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Serious,Male,32,Motorcycle <= 50cc
2013,427717,435890,3,5,11.1.2013,1700,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,86,Car
2013,427717,435890,3,5,11.1.2013,1700,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,55,Car
2013,427717,435890,3,5,11.1.2013,1700,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,27,Car
2013,427717,435890,3,5,11.1.2013,1700,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,82,Car
2013,427717,435890,3,5,11.1.2013,1700,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,72,Car
2013,430349,432102,2,1,11.1.2013,2045,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,28,Car
2013,424251,434478,2,1,11.1.2013,2152,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,24,Car
2013,426482,440266,1,1,11.1.2013,2100,Unclassified,Wet,Darkness (no streetlights),Fog or mist,Driver or rider,Slight,Female,20,Car
2013,435674,434803,2,3,12.1.2013,1020,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,29,Car
2013,435674,434803,2,3,12.1.2013,1020,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,53,Car
2013,435674,434803,2,3,12.1.2013,1020,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,29,Car
2013,425641,438022,2,1,11.1.2013,1740,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,81,Car
2013,434926,434618,1,1,12.1.2013,1310,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,78,Bus or coach
2013,426830,438065,2,1,11.1.2013,1810,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,19,Motorcycle >50cc and <=125cc
2013,429327,440815,1,1,12.1.2013,1725,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Serious,Female,82,Car
2013,426496,433935,2,2,11.1.2013,1639,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,24,Car
2013,426496,433935,2,2,11.1.2013,1639,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,35,Car
2013,427548,438692,2,2,11.1.2013,1610,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,38,Car
2013,427548,438692,2,2,11.1.2013,1610,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,39,Car
2013,431197,431468,2,5,13.01.2013,25,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,20,Car
2013,431197,431468,2,5,13.01.2013,25,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,26,Car
2013,431197,431468,2,5,13.01.2013,25,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Serious,Male,30,Car
2013,431197,431468,2,5,13.01.2013,25,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,21,Car
2013,431197,431468,2,5,13.01.2013,25,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,21,Car
2013,435722,436933,3,3,13.01.2013,1030,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,37,Car
2013,435722,436933,3,3,13.01.2013,1030,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,11,Car
