"Year","Reference_Number","Grid_Ref_Easting","Grid_Ref_Northing","Number_of_Vehicles","Number_of_Casualties","Accident_Date","Time","Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty","Type_of_Vehicle"
"2013","130007710","440607","432088","4","2","6_1_2013","1345","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Serious","Male","26","Motorcycle over 500cc"
"2013","130007710","440607","432088","4","2","6_1_2013","1345","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","31","Motorcycle over 500cc"
"2013","130007898","429154","429904","2","1","6_1_2013","1730","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","20","Motorcycle <= 50cc"
"2013","130008735","431626","434446","1","1","7_1_2013","1021","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Female","26","Car"
"2013","130008751","420402","434121","2","1","7_1_2013","955","B (regional road)","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","34","Bicycle"
"2013","130009333","426898","435691","2","1","7_1_2013","1300","B (regional road)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","20","Bicycle"
"2013","130009691","429969","423861","3","1","7_1_2013","1732","Motorway (freeway)","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Female","26","Car"
"2013","130009692","427024","431642","2","1","7_1_2013","1730","A (back roads)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Serious","Male","38","Bicycle"
"2013","130009714","432808","425995","2","1","7_1_2013","1740","Motorway (freeway)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","33","Car"
"2013","130009868","428381","432522","2","1","7_1_2013","2200","A (back roads)","Dry","Darkness (streetlights present but unlit)","Fine w/o high winds","Driver or rider","Slight","Male","23","Bicycle"
"2013","130010135","431321","428469","2","1","8_1_2013","635","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","38","Motorcycle >50cc and <=125cc"
"2013","130010159","430003","438577","2","1","6_1_2013","1100","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","49","Minibus"
"2013","130010563","425826","438087","4","1","8_1_2013","840","A (back roads)","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","44","Car"
"2013","130010801","433137","433315","2","1","8_1_2013","1250","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","30","Motorcycle >50cc and <=125cc"
"2013","130010974","430742","435470","1","1","8_1_2013","1500","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Serious","Female","30","Taxi/Private hire car"
